Collision Year,Collision Date & Time,Location Type,Location Description,Traffic Control,Pedestrians Involved,Vehicles Involved,Cyclists Involved,Minor Injuries,Major Injuries,Fatalities,Property Damage Only
2020,2020-02-01 22:45,Midblock,82 Ave NW between Gateway Blvd & 109 St,No Control,0,2,0,0,0,0,Y
2020,2020-02-02 16:48,Midblock,Anthony Henday Dr NW near 23 Ave,No Control,1,2,0,3,0,0,N
2020,2020-02-03 05:46,Intersection,Gateway Blvd & 23 Ave NW,No Control,0,4,0,0,0,0,Y
2020,2020-02-05 13:26,Intersection,Whitemud Dr & 91 St NW,Traffic Signal,0,4,2,0,0,0,Y
2020,2020-02-08 15:14,Intersection,Jasper Ave & 124 St NW,Yield Sign,0,2,0,0,0,0,Y
2020,2020-02-12 07:06,Midblock,Stony Plain Rd NW between 149 St & 163 St,Pedestrian Crosswalk Signal,0,2,0,1,0,0,N
2020,2020-02-14 02:36,Midblock,Whitemud Dr NW between 91 St & 119 St,No Control,0,5,0,0,0,0,Y
2020,2020-02-14 17:32,Intersection,Calgary Trail & 51 Ave NW,Traffic Signal,0,2,0,1,0,0,N
2020,2020-02-14 20:22,Intersection,Kingsway Ave & 109 St NW,Traffic Signal,0,4,0,0,0,0,Y
2020,2020-02-15 13:58,Intersection,137 Ave & 97 St NW,Traffic Signal,1,4,0,1,0,0,N
2020,2020-02-16 13:55,Intersection,23 Ave & 91 St NW,Traffic Signal,0,3,0,2,0,0,N
2020,2020-02-18 07:03,Intersection,Anthony Henday Dr & 66 St NW,Stop Sign,0,2,1,0,2,0,N
2020,2020-02-18 07:30,Midblock,Stony Plain Rd NW between 149 St & 163 St,No Control,1,4,0,0,0,0,Y
2020,2020-02-18 17:02,Intersection,Anthony Henday Dr & 66 St NW,Traffic Signal,1,2,0,0,2,0,N
2020,2020-02-19 21:29,Midblock,82 Ave NW between Gateway Blvd & 109 St,No Control,0,1,0,0,0,0,Y
2020,2020-02-21 00:07,Intersection,Stony Plain Rd & 149 St NW,Yield Sign,1,3,0,0,0,0,Y
2020,2020-02-22 14:05,Intersection,Stony Plain Rd & 149 St NW,Stop Sign,0,3,0,1,0,0,N
2020,2020-02-23 07:49,Midblock,Groat Rd NW between River Valley Rd & 107 Ave,No Control,0,2,0,0,0,0,Y
2020,2020-02-23 21:31,Intersection,Gateway Blvd & 23 Ave NW,Traffic Signal,0,3,0,3,0,0,N
2020,2020-02-24 18:10,Intersection,Whyte Ave & 99 St NW,No Control,0,5,1,0,0,0,Y
2020,2020-02-25 20:54,Intersection,Anthony Henday Dr & 66 St NW,Yield Sign,0,2,0,2,0,0,N
2020,2020-02-25 23:00,Midblock,Fort Rd NW between 118 Ave & 137 Ave,Pedestrian Crosswalk Signal,0,1,0,0,0,0,Y
2020,2020-02-26 16:02,Intersection,Kingsway Ave & 109 St NW,Traffic Signal,1,3,0,1,0,0,N
2020,2020-02-28 12:36,Intersection,Whyte Ave & 99 St NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-02-28 13:43,Midblock,Calgary Trail NW between 51 Ave & 34 Ave,No Control,1,3,0,2,0,0,N
2020,2020-02-28 22:04,Midblock,Whitemud Dr NW between 91 St & 119 St,School Zone,1,5,0,0,2,1,N
2020,2020-03-01 04:07,Intersection,Terwillegar Dr & 23 Ave SW,No Control,1,4,0,0,0,0,Y
2020,2020-03-02 19:06,Midblock,Groat Rd NW between River Valley Rd & 107 Ave,No Control,1,3,0,0,0,0,Y
2020,2020-03-02 19:47,Intersection,Calgary Trail & 51 Ave NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-03-03 10:06,Midblock,82 Ave NW between Gateway Blvd & 109 St,School Zone,0,2,0,0,0,0,Y
2020,2020-03-03 12:23,Intersection,23 Ave & 91 St NW,Stop Sign,0,3,0,0,1,0,N
2020,2020-03-03 23:13,Intersection,107 Ave & 156 St NW,Yield Sign,0,4,0,2,0,0,N
2020,2020-03-04 13:52,Intersection,Stony Plain Rd & 149 St NW,Stop Sign,0,2,0,0,0,0,Y
2020,2020-03-05 15:27,Intersection,23 Ave & 91 St NW,Stop Sign,2,4,0,1,2,0,N
2020,2020-03-06 08:44,Intersection,Jasper Ave & 109 St NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-03-06 16:03,Midblock,Stony Plain Rd NW between 149 St & 163 St,No Control,0,2,0,0,0,0,Y
2020,2020-03-06 16:53,Intersection,118 Ave & 82 St NW,Traffic Signal,1,2,0,0,0,0,Y
2020,2020-03-06 20:37,Midblock,Yellowhead Trail NW between 97 St & 82 St,No Control,0,2,0,2,2,1,N
2020,2020-03-07 21:19,Midblock,Groat Rd NW between River Valley Rd & 107 Ave,School Zone,0,3,0,0,0,0,Y
2020,2020-03-08 06:42,Intersection,Whitemud Dr & 170 St NW,Yield Sign,0,2,0,0,0,0,Y
2020,2020-03-09 07:39,Intersection,Kingsway Ave & 109 St NW,Traffic Signal,0,4,0,0,0,0,Y
2020,2020-03-09 14:08,Midblock,170 St NW between Whitemud Dr & Jasper Ave,School Zone,0,4,0,2,0,0,N
2020,2020-03-10 17:36,Intersection,Yellowhead Trail & 97 St NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-03-15 16:15,Intersection,Jasper Ave & 124 St NW,Yield Sign,1,2,0,2,1,0,N
2020,2020-03-15 19:04,Midblock,Groat Rd NW between River Valley Rd & 107 Ave,No Control,2,4,0,2,0,0,N
2020,2020-03-16 17:55,Intersection,Jasper Ave & 109 St NW,Traffic Signal,0,3,0,3,0,0,N
2020,2020-03-16 23:29,Intersection,137 Ave & 97 St NW,Stop Sign,0,2,0,0,0,0,Y
2020,2020-03-17 09:53,Intersection,Gateway Blvd & 23 Ave NW,Yield Sign,2,4,0,0,0,0,Y
2020,2020-03-17 16:02,Intersection,Whitemud Dr & 170 St NW,Stop Sign,0,2,1,0,0,0,Y
2020,2020-03-19 17:24,Intersection,Kingsway Ave & 109 St NW,Stop Sign,0,3,0,0,0,0,Y
2020,2020-03-20 17:45,Intersection,Yellowhead Trail & 97 St NW,Stop Sign,1,2,1,3,1,0,N
2020,2020-03-21 12:55,Intersection,Calgary Trail & 51 Ave NW,Yield Sign,2,2,0,0,0,0,Y
2020,2020-03-21 13:18,Intersection,Whyte Ave & 99 St NW,Stop Sign,0,2,0,0,0,0,Y
2020,2020-03-21 19:06,Intersection,118 Ave & 82 St NW,Stop Sign,0,2,0,0,0,0,Y
2020,2020-03-23 08:42,Intersection,Manning Dr & 137 Ave NW,Yield Sign,0,2,0,1,0,0,N
2020,2020-03-25 01:52,Intersection,34 Ave & 91 St NW,Traffic Signal,1,3,0,0,0,0,Y
2020,2020-03-25 07:02,Intersection,23 Ave & 91 St NW,Traffic Signal,0,4,1,2,1,0,N
2020,2020-03-25 13:40,Intersection,118 Ave & 82 St NW,Stop Sign,0,3,0,0,0,0,Y
2020,2020-03-25 14:16,Intersection,Yellowhead Trail & 97 St NW,Stop Sign,0,2,0,0,0,0,Y
2020,2020-03-26 16:27,Intersection,Calgary Trail & 51 Ave NW,Traffic Signal,1,2,0,0,0,0,Y
2020,2020-03-28 15:44,Intersection,Whitemud Dr & 91 St NW,Traffic Signal,1,4,0,3,0,0,N
2020,2020-03-28 21:35,Intersection,Fort Rd & 118 Ave NW,Traffic Signal,0,3,0,1,1,0,N
2020,2020-04-02 10:12,Intersection,Whitemud Dr & 170 St NW,Stop Sign,0,2,1,0,0,0,Y
2020,2020-04-02 21:44,Intersection,Stony Plain Rd & 149 St NW,Yield Sign,1,2,0,1,0,0,N
2020,2020-04-03 12:34,Intersection,Fort Rd & 118 Ave NW,Yield Sign,1,4,0,0,0,0,Y
2020,2020-04-03 23:55,Midblock,170 St NW between Whitemud Dr & Jasper Ave,School Zone,0,3,0,0,0,0,Y
2020,2020-04-04 14:17,Intersection,34 Ave & 91 St NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-04-04 16:17,Midblock,118 Ave NW between 82 St & 97 St,No Control,0,4,0,0,0,0,Y
2020,2020-04-05 10:24,Intersection,Anthony Henday Dr & 66 St NW,No Control,0,2,0,0,2,1,N
2020,2020-04-05 14:25,Midblock,Fort Rd NW between 118 Ave & 137 Ave,Pedestrian Crosswalk Signal,0,2,0,0,0,0,Y
2020,2020-04-05 21:00,Midblock,Stony Plain Rd NW between 149 St & 163 St,No Control,1,2,0,1,2,0,N
2020,2020-04-06 20:56,Midblock,Yellowhead Trail NW between 97 St & 82 St,No Control,0,2,0,0,0,0,Y
2020,2020-04-07 11:08,Midblock,Whitemud Dr NW between 91 St & 119 St,School Zone,3,4,0,2,0,0,N
2020,2020-04-08 15:43,Midblock,118 Ave NW between 82 St & 97 St,No Control,0,2,0,0,0,0,Y
2020,2020-04-10 03:44,Intersection,Gateway Blvd & 23 Ave NW,Traffic Signal,1,2,0,0,0,0,Y
2020,2020-04-10 17:11,Intersection,Fort Rd & 118 Ave NW,Traffic Signal,0,3,0,1,0,0,N
2020,2020-04-11 11:26,Intersection,Calgary Trail & 51 Ave NW,Yield Sign,0,2,2,3,0,0,N
2020,2020-04-11 18:15,Midblock,Whitemud Dr NW between 91 St & 119 St,Pedestrian Crosswalk Signal,0,2,0,0,2,0,N
2020,2020-04-12 11:44,Intersection,Calgary Trail & 51 Ave NW,No Control,0,2,0,0,0,0,Y
2020,2020-04-13 18:44,Intersection,23 Ave & 91 St NW,Traffic Signal,0,2,0,0,1,0,N
2020,2020-04-14 16:04,Intersection,Whyte Ave & 99 St NW,No Control,0,4,0,0,2,0,N
2020,2020-04-14 17:37,Intersection,34 Ave & 91 St NW,No Control,0,3,0,0,0,0,Y
2020,2020-04-14 20:42,Intersection,Whitemud Dr & 91 St NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-04-18 14:25,Intersection,Calgary Trail & 51 Ave NW,Stop Sign,0,5,2,0,0,0,Y
2020,2020-04-20 14:17,Midblock,118 Ave NW between 82 St & 97 St,No Control,0,2,0,0,0,0,Y
2020,2020-04-20 16:39,Intersection,Yellowhead Trail & 97 St NW,Traffic Signal,1,2,0,0,0,0,Y
2020,2020-04-22 11:40,Intersection,Stony Plain Rd & 149 St NW,Yield Sign,0,2,0,0,1,0,N
2020,2020-04-22 13:11,Intersection,34 Ave & 91 St NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-04-22 17:50,Intersection,Gateway Blvd & 23 Ave NW,Yield Sign,0,3,0,0,0,0,Y
2020,2020-04-22 18:19,Intersection,Terwillegar Dr & 23 Ave SW,No Control,0,2,1,0,0,0,Y
2020,2020-04-22 20:54,Intersection,118 Ave & 82 St NW,Traffic Signal,1,3,0,0,0,0,Y
2020,2020-04-23 11:33,Midblock,118 Ave NW between 82 St & 97 St,School Zone,0,2,1,1,0,0,N
2020,2020-04-23 13:14,Intersection,Whitemud Dr & 170 St NW,Traffic Signal,0,2,0,1,0,0,N
2020,2020-04-23 23:09,Intersection,Whitemud Dr & 91 St NW,Traffic Signal,0,2,0,3,0,0,N
2020,2020-04-24 16:33,Intersection,23 Ave & 91 St NW,No Control,0,2,0,1,0,0,N
2020,2020-04-24 17:54,Intersection,Gateway Blvd & 23 Ave NW,Stop Sign,0,3,0,2,0,0,N
2020,2020-04-26 08:30,Midblock,Calgary Trail NW between 51 Ave & 34 Ave,No Control,1,2,0,0,0,0,Y
2020,2020-04-26 15:45,Intersection,118 Ave & 82 St NW,No Control,1,3,0,0,1,0,N
2020,2020-04-26 17:57,Intersection,Whitemud Dr & 170 St NW,Stop Sign,0,2,0,0,0,0,Y
2020,2020-04-27 12:09,Intersection,Whitemud Dr & 91 St NW,Traffic Signal,0,5,1,0,0,0,Y
2020,2020-04-27 14:16,Intersection,Gateway Blvd & 23 Ave NW,Traffic Signal,0,3,0,1,0,0,N
2020,2020-04-27 14:19,Intersection,Fort Rd & 118 Ave NW,Stop Sign,1,2,0,0,2,0,N
2020,2020-04-28 12:10,Intersection,Whitemud Dr & 91 St NW,Traffic Signal,1,3,0,2,0,1,N
2020,2020-04-28 12:17,Intersection,107 Ave & 156 St NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-05-01 15:59,Midblock,Whitemud Dr NW between 91 St & 119 St,Pedestrian Crosswalk Signal,1,2,0,0,2,0,N
2020,2020-05-02 07:12,Intersection,Jasper Ave & 124 St NW,Traffic Signal,0,4,0,2,0,0,N
2020,2020-05-03 05:59,Intersection,Anthony Henday Dr & 66 St NW,Traffic Signal,0,2,0,1,0,0,N
2020,2020-05-03 14:29,Intersection,Stony Plain Rd & 149 St NW,Traffic Signal,0,2,0,1,0,0,N
2020,2020-05-03 16:01,Intersection,23 Ave & 91 St NW,Traffic Signal,0,2,0,1,1,1,N
2020,2020-05-06 08:37,Midblock,Fort Rd NW between 118 Ave & 137 Ave,School Zone,0,2,0,2,0,0,N
2020,2020-05-06 13:57,Intersection,Manning Dr & 137 Ave NW,Stop Sign,0,3,0,0,0,0,Y
2020,2020-05-07 07:46,Intersection,107 Ave & 156 St NW,Traffic Signal,1,3,0,0,1,0,N
2020,2020-05-07 14:11,Intersection,137 Ave & 97 St NW,No Control,0,5,0,2,0,0,N
2020,2020-05-08 16:37,Intersection,Jasper Ave & 124 St NW,Yield Sign,0,2,0,0,0,0,Y
2020,2020-05-09 20:49,Intersection,Kingsway Ave & 109 St NW,Stop Sign,0,3,0,0,1,0,N
2020,2020-05-10 14:24,Intersection,34 Ave & 91 St NW,Traffic Signal,1,2,0,0,0,0,Y
2020,2020-05-10 15:36,Intersection,23 Ave & 91 St NW,No Control,0,1,1,0,0,0,Y
2020,2020-05-10 20:28,Intersection,Kingsway Ave & 109 St NW,Stop Sign,0,3,0,1,0,0,N
2020,2020-05-11 08:41,Intersection,34 Ave & 91 St NW,Yield Sign,0,3,0,2,0,0,N
2020,2020-05-11 11:58,Intersection,Kingsway Ave & 109 St NW,No Control,0,2,0,0,0,0,Y
2020,2020-05-12 09:41,Midblock,Anthony Henday Dr NW near 23 Ave,School Zone,0,2,1,0,0,0,Y
2020,2020-05-12 14:11,Intersection,Yellowhead Trail & 97 St NW,Stop Sign,0,3,1,2,0,0,N
2020,2020-05-12 15:56,Intersection,Groat Rd & Valleyview Dr NW,Traffic Signal,1,3,0,0,0,0,Y
2020,2020-05-12 18:00,Intersection,Whyte Ave & 99 St NW,Stop Sign,0,3,0,0,0,0,Y
2020,2020-05-14 15:33,Intersection,Calgary Trail & 51 Ave NW,Traffic Signal,0,3,0,1,0,0,N
2020,2020-05-14 20:08,Intersection,Jasper Ave & 109 St NW,Traffic Signal,2,3,0,1,1,0,N
2020,2020-05-16 06:41,Midblock,Yellowhead Trail NW between 97 St & 82 St,No Control,0,4,0,0,0,0,Y
2020,2020-05-17 20:08,Intersection,Jasper Ave & 124 St NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-05-18 14:45,Intersection,Terwillegar Dr & 23 Ave SW,Traffic Signal,0,5,0,0,0,0,Y
2020,2020-05-18 15:36,Midblock,Calgary Trail NW between 51 Ave & 34 Ave,Pedestrian Crosswalk Signal,0,4,1,0,0,0,Y
2020,2020-05-20 10:07,Intersection,Fort Rd & 118 Ave NW,No Control,0,2,0,0,1,1,N
2020,2020-05-20 23:55,Midblock,Groat Rd NW between River Valley Rd & 107 Ave,No Control,0,5,0,0,0,0,Y
2020,2020-05-21 11:39,Intersection,Jasper Ave & 124 St NW,Stop Sign,0,2,0,0,0,0,Y
2020,2020-05-22 13:34,Intersection,Terwillegar Dr & 23 Ave SW,Yield Sign,0,2,0,0,0,0,Y
2020,2020-05-23 08:27,Intersection,Fort Rd & 118 Ave NW,No Control,0,2,2,0,0,0,Y
2020,2020-05-24 11:28,Intersection,34 Ave & 91 St NW,Traffic Signal,0,4,0,3,0,0,N
2020,2020-05-26 13:10,Intersection,137 Ave & 97 St NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-05-26 20:23,Midblock,Anthony Henday Dr NW near 23 Ave,School Zone,0,1,0,3,0,0,N
2020,2020-06-03 07:44,Intersection,118 Ave & 82 St NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-06-03 21:33,Intersection,Stony Plain Rd & 149 St NW,Stop Sign,0,1,0,0,0,0,Y
2020,2020-06-04 08:24,Intersection,107 Ave & 156 St NW,Stop Sign,0,2,1,2,0,0,N
2020,2020-06-05 08:27,Intersection,Stony Plain Rd & 149 St NW,Stop Sign,0,2,0,0,0,0,Y
2020,2020-06-05 11:13,Intersection,Groat Rd & Valleyview Dr NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-06-06 15:44,Midblock,Whitemud Dr NW between 91 St & 119 St,No Control,0,3,0,1,0,0,N
2020,2020-06-06 17:42,Midblock,Fort Rd NW between 118 Ave & 137 Ave,No Control,0,3,0,0,0,0,Y
2020,2020-06-07 15:49,Intersection,Terwillegar Dr & 23 Ave SW,Traffic Signal,1,2,0,0,2,0,N
2020,2020-06-07 19:24,Intersection,107 Ave & 156 St NW,Yield Sign,1,2,0,0,3,0,N
2020,2020-06-08 10:41,Intersection,Whitemud Dr & 170 St NW,Stop Sign,2,3,1,0,0,2,N
2020,2020-06-08 19:03,Midblock,Groat Rd NW between River Valley Rd & 107 Ave,Pedestrian Crosswalk Signal,1,2,1,2,0,0,N
2020,2020-06-08 20:09,Midblock,118 Ave NW between 82 St & 97 St,No Control,0,2,0,0,0,0,Y
2020,2020-06-09 08:30,Intersection,137 Ave & 97 St NW,Traffic Signal,0,1,0,0,0,0,Y
2020,2020-06-09 20:43,Intersection,Whitemud Dr & 91 St NW,Stop Sign,1,3,0,0,0,0,Y
2020,2020-06-11 08:43,Intersection,107 Ave & 156 St NW,No Control,0,3,0,0,0,0,Y
2020,2020-06-12 11:10,Midblock,118 Ave NW between 82 St & 97 St,No Control,0,2,0,2,0,0,N
2020,2020-06-13 20:59,Intersection,34 Ave & 91 St NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-06-15 12:47,Intersection,Terwillegar Dr & 23 Ave SW,Stop Sign,0,2,0,0,0,0,Y
2020,2020-06-15 22:56,Intersection,Fort Rd & 118 Ave NW,Traffic Signal,0,3,1,1,0,0,N
2020,2020-06-16 05:42,Midblock,Fort Rd NW between 118 Ave & 137 Ave,No Control,0,2,0,0,0,0,Y
2020,2020-06-16 23:06,Midblock,Yellowhead Trail NW between 97 St & 82 St,No Control,1,2,0,1,2,2,N
2020,2020-06-17 17:46,Intersection,137 Ave & 97 St NW,Yield Sign,0,3,0,0,0,0,Y
2020,2020-06-19 10:22,Intersection,Anthony Henday Dr & 66 St NW,Yield Sign,0,2,0,0,0,0,Y
2020,2020-06-19 19:11,Intersection,Gateway Blvd & 23 Ave NW,Traffic Signal,0,3,0,1,1,0,N
2020,2020-06-22 07:32,Intersection,Gateway Blvd & 23 Ave NW,Traffic Signal,0,3,0,0,0,0,Y
2020,2020-06-22 07:40,Intersection,Whitemud Dr & 91 St NW,Stop Sign,0,3,0,1,1,0,N
2020,2020-06-23 04:27,Intersection,118 Ave & 82 St NW,Stop Sign,0,2,0,1,0,0,N
2020,2020-06-23 11:48,Intersection,Yellowhead Trail & 97 St NW,Traffic Signal,0,2,0,3,0,0,N
2020,2020-06-23 12:07,Intersection,Groat Rd & Valleyview Dr NW,Traffic Signal,1,2,0,0,0,0,Y
2020,2020-06-24 06:22,Intersection,Whitemud Dr & 170 St NW,No Control,0,2,0,0,0,0,Y
2020,2020-06-25 14:08,Intersection,34 Ave & 91 St NW,Yield Sign,1,3,0,1,2,0,N
2020,2020-06-25 14:14,Midblock,Whitemud Dr NW between 91 St & 119 St,Pedestrian Crosswalk Signal,0,1,0,0,1,0,N
2020,2020-06-26 13:30,Intersection,Calgary Trail & 51 Ave NW,No Control,0,2,0,0,0,0,Y
2020,2020-06-26 14:21,Intersection,Whitemud Dr & 91 St NW,Stop Sign,0,2,0,1,0,0,N
2020,2020-06-26 19:45,Midblock,Yellowhead Trail NW between 97 St & 82 St,School Zone,0,2,0,0,0,0,Y
2020,2020-06-28 12:26,Intersection,Whyte Ave & 99 St NW,Traffic Signal,1,3,0,0,0,0,Y
2020,2020-06-28 17:04,Intersection,Jasper Ave & 109 St NW,Stop Sign,0,5,0,3,0,0,N
2020,2020-07-01 12:20,Midblock,Calgary Trail NW between 51 Ave & 34 Ave,No Control,0,1,0,1,0,0,N
2020,2020-07-02 08:55,Intersection,137 Ave & 97 St NW,Traffic Signal,0,3,0,1,0,0,N
2020,2020-07-04 01:59,Intersection,Whitemud Dr & 91 St NW,Traffic Signal,0,1,0,1,0,0,N
2020,2020-07-04 07:29,Intersection,Anthony Henday Dr & 66 St NW,Stop Sign,0,3,0,0,0,0,Y
2020,2020-07-04 16:33,Midblock,82 Ave NW between Gateway Blvd & 109 St,No Control,0,2,0,1,0,0,N
2020,2020-07-05 08:32,Intersection,Fort Rd & 118 Ave NW,Traffic Signal,0,2,0,1,0,0,N
2020,2020-07-05 16:14,Midblock,Fort Rd NW between 118 Ave & 137 Ave,Pedestrian Crosswalk Signal,0,2,0,1,0,0,N
2020,2020-07-06 10:06,Intersection,34 Ave & 91 St NW,Stop Sign,0,3,2,1,1,1,N
2020,2020-07-06 13:51,Intersection,Terwillegar Dr & 23 Ave SW,Traffic Signal,0,3,0,0,0,0,Y
2020,2020-07-07 16:16,Intersection,Calgary Trail & 51 Ave NW,Stop Sign,0,2,1,1,0,0,N
2020,2020-07-08 13:30,Intersection,137 Ave & 97 St NW,Stop Sign,1,4,0,1,0,0,N
2020,2020-07-08 20:36,Intersection,Whitemud Dr & 91 St NW,Stop Sign,0,3,0,0,0,0,Y
2020,2020-07-09 18:27,Midblock,170 St NW between Whitemud Dr & Jasper Ave,School Zone,0,2,0,0,0,0,Y
2020,2020-07-10 14:47,Midblock,170 St NW between Whitemud Dr & Jasper Ave,No Control,0,2,0,2,0,0,N
2020,2020-07-11 18:34,Intersection,Anthony Henday Dr & 66 St NW,Yield Sign,0,2,0,1,0,0,N
2020,2020-07-11 19:25,Intersection,34 Ave & 91 St NW,Stop Sign,0,4,1,0,0,0,Y
2020,2020-07-13 08:11,Intersection,Jasper Ave & 109 St NW,No Control,0,3,0,0,1,0,N
2020,2020-07-14 14:53,Intersection,Fort Rd & 118 Ave NW,Yield Sign,0,4,0,0,0,0,Y
2020,2020-07-15 14:56,Intersection,23 Ave & 91 St NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-07-15 18:16,Intersection,Fort Rd & 118 Ave NW,Stop Sign,0,3,0,0,0,0,Y
2020,2020-07-15 19:57,Midblock,Stony Plain Rd NW between 149 St & 163 St,School Zone,0,4,1,0,0,0,Y
2020,2020-07-17 13:00,Midblock,Groat Rd NW between River Valley Rd & 107 Ave,No Control,1,3,0,0,2,1,N
2020,2020-07-17 18:18,Intersection,Calgary Trail & 51 Ave NW,Yield Sign,0,3,0,0,0,0,Y
2020,2020-07-19 05:13,Midblock,Calgary Trail NW between 51 Ave & 34 Ave,Pedestrian Crosswalk Signal,0,3,1,0,0,0,Y
2020,2020-07-20 16:59,Intersection,Gateway Blvd & 23 Ave NW,Traffic Signal,0,2,0,0,2,0,N
2020,2020-07-21 15:42,Intersection,Fort Rd & 118 Ave NW,Traffic Signal,0,2,0,0,0,0,Y
2020,2020-07-21 18:35,Midblock,Groat Rd NW between River Valley Rd & 107 Ave,No Control,0,2,1,2,1,0,N
2020,2020-07-25 09:01,Intersection,Fort Rd & 118 Ave NW,Traffic Signal,0,4,0,0,0,0,Y
2020,2020-07-26 17:10,Midblock,Yellowhead Trail NW between 97 St & 82 St,No Control,1,5,0,1,0,0,N
2020,2020-07-26 19:49,Intersection,34 Ave & 91 St NW,No Control,0,3,0,0,0,1,N
2020,2020-07-27 08:02,Intersection,Calgary Trail & 51 Ave NW,Traffic Signal,2,3,0,0,1,0,N
